awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Conference Title,Conference Date,Total Citations,Average per Year,ave3,ave5
22330095,2010,2013,10000000,0,13901,4,HS,1,10.1007/s10797-012-9238-8,Further analysis on leadership in tax competition: the role of capital ownership,"Ogawa, Hikaru",INTERNATIONAL TAX AND PUBLIC FINANCE,JUN 2013,2013,,,29.0,2.64,3.0,3.2
22330095,2010,2013,10000000,0,13901,4,HS,1,10.1007/s10198-012-0396-5,Inter-regional competition and quality in hospital care,"Aiura, Hiroshi",EUROPEAN JOURNAL OF HEALTH ECONOMICS,JUN 2013,2013,,,4.0,0.36,0.0,0.4
22330095,2010,2013,10000000,0,13901,4,HS,1,10.1080/13504851.2011.564118,Partial coordination in local debt policies,"Nagami, Junichi; Ogawa, Hikaru",APPLIED ECONOMICS LETTERS,2011,2011,,,2.0,0.15,0.0,0.2
22330095,2010,2013,10000000,0,13901,4,HS,1,10.1016/j.jmacro.2011.09.003,Multiple equilibria arising from donor's aid policy in economic development,"Kitaura, Koji; Ogawa, Hikaru; Yakita, Sayaka",JOURNAL OF MACROECONOMICS,DEC 2011,2011,,,0.0,0.0,0.0,0.0
22330095,2010,2013,10000000,0,13901,4,HS,1,10.1007/s00168-011-0446-4,Hub location with scheduling effects in a monopoly airline market,"Kawasaki, Akio",ANNALS OF REGIONAL SCIENCE,DEC 2012,2012,,,6.0,0.5,1.0,1.2
22330205,2010,2012,14800000,0,82609,3,HS,11,10.1016/j.bbr.2011.02.032,Are there internal thought processes in the monkey?-Default brain activity in humans and nonhuman primates,"Watanabe, M.",BEHAVIOURAL BRAIN RESEARCH,AUG 1 2011,2011,,,8.0,0.62,1.0,1.4
23330183,2011,2013,11500000,0,32692,3,HS,3,10.1080/08351813.2013.810407,Responding With Resistance to Wh-Questions in Japanese Talk-in-Interaction,"Hayashi, Makoto; Kushida, Shuya",RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,JUL 1 2013,2013,,,19.0,1.73,1.0,1.0
23330194,2011,2013,8900000,0,13901,3,HS,1,10.1177/0022022113509882,The Emergent Nature of Culturally Meaningful Categorization and Language Use A Japanese-Italian Comparison of Age Categories,"Karasawa, Minoru; Maass, Anne; Rakic, Tamara; Kato, Ai",JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,APR 2014,2014,,,6.0,0.6,0.333333333,0.4
23330194,2011,2013,8900000,0,13901,3,HS,1,10.1016/j.pragma.2013.06.008,Developing sensitivity to the sources of information: Early use of the Japanese quotative particles tte and to in mother-child conversation,"Matsui, Tomoko; Yamamoto, Taeko",JOURNAL OF PRAGMATICS,DEC 2013,2013,,,4.0,0.36,0.0,0.2
22320122,2010,2014,13400000,0,32601,5,HS,3,10.1186/s12992-015-0093-0,The ecosystem approach to health is a promising strategy in international development: lessons from Japan and Laos,"Asakura, Takashi; Mallee, Hein; Tomokawa, Sachi; Moji, Kazuhiko; Kobayashi, Jun",GLOBALIZATION AND HEALTH,FEB 16 2015,2015,,,17.0,1.89,0.666666667,1.6
22320122,2010,2014,13400000,0,32601,5,HS,3,10.1186/1475-2875-11-262,"Joint malaria surveys lead towards improved cross-border cooperation between Savannakhet province, Laos and Quang Tri province, Vietnam","Pongvongsa, Tiengkham; Hoang Ha; Le Thanh; Marchand, Ron P.; Nonaka, Daisuke; Tojo, Bumpei; Phongmany, Panom; Moji, Kazuhiko; Kobayashi, Jun",MALARIA JOURNAL,AUG 3 2012,2012,,,15.0,1.25,1.0,0.8
22320122,2010,2014,13400000,0,32601,5,HS,3,10.1016/j.actatropica.2013.01.002,Prevalence and clinical aspects of human Trichostrongylus colubriformis infection in Lao PDR,"Watthanakulpanich, Dorn; Pongyongsa, Tiengkham; Sanguankiat, Surapol; Nuamtanong, Supaporn; Maipanich, Wanna; Yoonuan, Tippayarat; Phuphisut, Orawan; Boupha, Boungnong; Moji, Kazuhiko; Sato, Megumi; Waikagul, Jitra",ACTA TROPICA,APR 2013,2013,,,17.0,1.55,0.666666667,1.6
22320122,2010,2014,13400000,0,32601,5,HS,3,10.1353/tech.2012.0050,"Techno-Science and the State in the Japanese Empire Yang Daqing, Technology of Empire Janis Mimura, Planning for Empire","Tsukahara, Togo",TECHNOLOGY AND CULTURE,APR 2012,2012,,,0.0,0.0,0.0,0.0
22330198,2010,2013,15100000,0,11301,4,HS,1,10.1371/journal.pone.0092284,Why Do We Move Our Head to Look at an Object in Our Peripheral Region? Lateral Viewing Interferes with Attentive Search,"Nakashima, Ryoichi; Shioiri, Satoshi",PLOS ONE,MAR 19 2014,2014,,,24.0,2.4,0.666666667,1.4
22330198,2010,2013,15100000,0,11301,4,HS,1,10.1016/j.cub.2013.11.034,Moving One's Own Body Part Induces a Motion Aftereffect Anchored to the Body Part,"Matsumiya, Kazumichi; Shioiri, Satoshi",CURRENT BIOLOGY,JAN 20 2014,2014,,,12.0,1.2,1.0,1.0
