awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,journal_count
16300289,2004,2006,14600000,0,82620,3,INT,10,0.0
16360309,2004,2006,12500000,0,82620,3,SE,10,0.0
17300292,2005,2008,14000000,0,82620,4,INT,10,0.0
18320038,2006,2008,6200000,0,82620,3,HS,10,0.0
19360283,2007,2009,12900000,0,82620,3,SE,10,0.0
20300291,2008,2010,14600000,0,82620,3,INT,10,1.0
21320033,2009,2012,13000000,0,82620,4,HS,10,2.0
22320032,2010,2013,14600000,0,82620,4,HS,10,1.0
22300312,2010,2014,13200000,0,82620,5,INT,10,3.0
23300328,2011,2014,13900000,0,82620,4,INT,10,10.0
24320032,2012,2014,12200000,ichibu_kikin,82620,3,HS,10,2.0
26289225,2014,2018,12700000,ichibu_kikin,82620,5,SE,10,1.0
26282071,2014,2018,13000000,ichibu_kikin,82620,5,INT,10,2.0
16330170,2004,2006,15600000,0,47303,3,HS,4,0.0
21330195,2009,2012,14100000,0,47303,4,HS,4,9.0
16330171,2004,2006,8200000,0,82646,3,HS,10,1.0
19330192,2007,2009,5900000,0,82646,3,HS,10,15.0
23300314,2011,2014,9700000,0,82646,4,INT,10,3.0
23330139,2011,2014,7300000,0,82646,4,HS,10,4.0
16330172,2004,2006,6400000,0,12201,3,HS,1,0.0
16330094,2004,2007,14900000,0,12201,4,HS,1,3.0
16300024,2004,2006,12200000,0,12201,3,INT,1,0.0
16380185,2004,2006,13800000,0,12201,3,BIO,1,0.0
16360147,2004,2006,15100000,0,12201,3,SE,1,0.0
17380138,2005,2007,7100000,0,12201,3,BIO,1,2.0
17380130,2005,2007,10000000,0,12201,3,BIO,1,9.0
17360380,2005,2007,15000000,0,12201,3,SE,1,10.0
18380139,2006,2008,15800000,0,12201,3,BIO,1,8.0
18360161,2006,2008,14500000,0,12201,3,SE,1,14.0
18300014,2006,2008,14400000,0,12201,3,INT,1,29.0
19380033,2007,2010,15300000,0,12201,4,BIO,1,9.0
19380118,2007,2009,8900000,0,12201,3,BIO,1,3.0
20380132,2008,2010,11000000,0,12201,3,BIO,1,18.0
20380152,2008,2011,14800000,0,12201,4,BIO,1,5.0
20300193,2008,2010,12900000,0,12201,3,INT,1,0.0
20340159,2008,2010,13700000,0,12201,3,SE,1,16.0
20360026,2008,2010,13500000,0,12201,3,SE,1,8.0
21380117,2009,2012,13900000,0,12201,4,BIO,1,1.0
21380089,2009,2011,13500000,0,12201,3,BIO,1,3.0
21360142,2009,2011,14000000,0,12201,3,SE,1,22.0
21360161,2009,2012,13200000,0,12201,4,SE,1,16.0
22380071,2010,2012,14000000,0,12201,3,BIO,1,0.0
22380140,2010,2012,15000000,0,12201,3,BIO,1,0.0
22360057,2010,2012,14400000,0,12201,3,SE,1,2.0
22360024,2010,2012,14400000,0,12201,3,SE,1,25.0
23360362,2011,2013,8800000,0,12201,3,SE,1,7.0
23360026,2011,2013,16000000,0,12201,3,SE,1,10.0
23380061,2011,2013,14400000,0,12201,3,BIO,1,11.0
23330155,2011,2013,14500000,0,12201,3,HS,1,2.0
24380151,2012,2014,13400000,ichibu_kikin,12201,3,BIO,1,3.0
24310177,2012,2015,10900000,ichibu_kikin,12201,4,INT,1,7.0
24310052,2012,2015,11300000,ichibu_kikin,12201,4,INT,1,0.0
25289278,2013,2017,13800000,ichibu_kikin,12201,5,SE,1,3.0
26280100,2014,2017,9700000,ichibu_kikin,12201,4,INT,1,15.0
26282030,2014,2016,9800000,ichibu_kikin,12201,3,INT,1,7.0
15H03941,2015,2017,13100000,0,12201,3,SE,1,2.0
15H04508,2015,2017,12700000,0,12201,3,BIO,1,25.0
15H04570,2015,2017,13700000,0,12201,3,BIO,1,0.0
15H03570,2015,2017,11300000,0,12201,3,SE,1,27.0
16H03725,2016,2019,14000000,0,12201,4,HS,1,10.0
16H04914,2016,2018,13800000,0,12201,3,BIO,1,6.0
16H04425,2016,2018,14400000,0,12201,3,SE,1,8.0
17H01811,2017,2019,6200000,0,12201,3,INT,1,0.0
17H01975,2017,2020,13300000,0,12201,4,INT,1,16.0
16330173,2004,2007,12400000,0,12604,4,HS,1,0.0
16300229,2004,2007,14600000,0,12604,4,INT,1,3.0
16300249,2004,2006,7600000,0,12604,3,INT,1,0.0
16300262,2004,2006,14400000,0,12604,3,INT,1,0.0
16320026,2004,2006,5500000,0,12604,3,HS,1,0.0
16310169,2004,2006,5700000,0,12604,3,INT,1,0.0
16370072,2004,2006,15400000,0,12604,3,BIO,1,0.0
17320061,2005,2007,11300000,0,12604,3,HS,1,4.0
17300262,2005,2007,15000000,0,12604,3,INT,1,32.0
17330200,2005,2007,10400000,0,12604,3,HS,1,10.0
17330191,2005,2007,12500000,0,12604,3,HS,1,0.0
18320097,2006,2009,16000000,0,12604,4,HS,1,15.0
18300313,2006,2008,15400000,0,12604,3,INT,1,6.0
18300262,2006,2008,15900000,0,12604,3,INT,1,29.0
18330102,2006,2008,12500000,0,12604,3,HS,1,0.0
18330101,2006,2008,14000000,0,12604,3,HS,1,0.0
18330201,2006,2008,5900000,0,12604,3,HS,1,0.0
19310163,2007,2009,11500000,0,12604,3,INT,1,4.0
19300272,2007,2009,15100000,0,12604,3,INT,1,19.0
19300261,2007,2009,12800000,0,12604,3,INT,1,1.0
20300233,2008,2011,14400000,0,12604,4,INT,1,18.0
20340126,2008,2011,13600000,0,12604,4,SE,1,25.0
20340136,2008,2010,13900000,0,12604,3,SE,1,5.0
20330194,2008,2011,7100000,0,12604,4,HS,1,0.0
20330195,2008,2010,16300000,0,12604,3,HS,1,23.0
21370017,2009,2011,14500000,0,12604,3,BIO,1,14.0
21300304,2009,2012,14500000,0,12604,4,INT,1,18.0
22330257,2010,2012,12600000,0,12604,3,HS,1,15.0
22300269,2010,2012,14100000,0,12604,3,INT,1,32.0
22300280,2010,2014,13500000,0,12604,5,INT,1,2.0
22300273,2010,2012,11700000,0,12604,3,INT,1,9.0
22340040,2010,2012,14800000,0,12604,3,SE,1,24.0
23330275,2011,2013,9400000,0,12604,3,HS,1,5.0
24310129,2012,2014,14500000,ichibu_kikin,12604,3,INT,1,4.0
24330259,2012,2014,6600000,ichibu_kikin,12604,3,HS,1,2.0
24330260,2012,2014,13600000,ichibu_kikin,12604,3,HS,1,18.0
25285243,2013,2016,11100000,ichibu_kikin,12604,4,HS,1,8.0
25285226,2013,2016,5900000,ichibu_kikin,12604,4,HS,1,1.0
25282035,2013,2015,13600000,ichibu_kikin,12604,3,INT,1,10.0
25282051,2013,2016,13600000,ichibu_kikin,12604,4,INT,1,7.0
26291026,2014,2017,12800000,ichibu_kikin,12604,4,BIO,1,9.0
26282171,2014,2016,6600000,ichibu_kikin,12604,3,INT,1,4.0
26284071,2014,2017,5600000,ichibu_kikin,12604,4,HS,1,8.0
26287021,2014,2018,11600000,ichibu_kikin,12604,5,SE,1,20.0
26287030,2014,2017,12400000,ichibu_kikin,12604,4,SE,1,14.0
26285197,2014,2016,7300000,ichibu_kikin,12604,3,HS,1,1.0
26285198,2014,2017,12100000,ichibu_kikin,12604,4,HS,1,4.0
26286012,2014,2016,13100000,ichibu_kikin,12604,3,SE,1,6.0
15H03450,2015,2018,12700000,0,12604,4,HS,1,4.0
16H03809,2016,2019,11300000,0,12604,4,HS,1,3.0
16H03866,2016,2018,12900000,0,12604,3,SE,1,6.0
16H03054,2016,2019,13200000,0,12604,4,INT,1,7.0
16H03072,2016,2018,13100000,0,12604,3,INT,1,2.0
16H03359,2016,2019,10300000,0,12604,4,HS,1,5.0
16H04803,2016,2018,13300000,0,12604,3,BIO,1,11.0
17H02145,2017,2019,8200000,0,12604,3,INT,1,3.0
17H02058,2017,2019,13700000,0,12604,3,INT,1,1.0
17H01838,2017,2020,12300000,0,12604,4,INT,1,6.0
17H02692,2017,2020,13500000,0,12604,4,HS,1,1.0
17H02735,2017,2020,14100000,0,12604,4,SE,1,9.0
17H02863,2017,2019,12900000,0,12604,3,SE,1,13.0
16330174,2004,2006,12800000,0,13801,3,HS,1,0.0
16340022,2004,2006,6700000,0,13801,3,SE,1,0.0
16350099,2004,2006,12800000,0,13801,3,SE,1,0.0
16360078,2004,2006,12900000,0,13801,3,SE,1,0.0
16360004,2004,2006,14300000,0,13801,3,SE,1,0.0
16340117,2004,2006,14000000,0,13801,3,SE,1,0.0
16340180,2004,2006,15300000,0,13801,3,SE,1,0.0
16340151,2004,2006,11400000,0,13801,3,SE,1,0.0
16340152,2004,2006,14600000,0,13801,3,SE,1,0.0
16340159,2004,2006,8700000,0,13801,3,SE,1,0.0
16300251,2004,2006,14100000,0,13801,3,INT,1,0.0
16300015,2004,2007,14300000,0,13801,4,INT,1,11.0
16320117,2004,2006,5400000,0,13801,3,HS,1,0.0
16320102,2004,2006,13700000,0,13801,3,HS,1,0.0
16310072,2004,2006,15800000,0,13801,3,INT,1,0.0
16310038,2004,2007,11600000,0,13801,4,INT,1,12.0
16310057,2004,2006,9100000,0,13801,3,INT,1,0.0
16310149,2004,2006,15300000,0,13801,3,INT,1,0.0
16360325,2004,2006,10900000,0,13801,3,SE,1,0.0
16360122,2004,2006,15000000,0,13801,3,SE,1,0.0
16380077,2004,2006,15700000,0,13801,3,BIO,1,0.0
16380099,2004,2006,15800000,0,13801,3,BIO,1,0.0
17320004,2005,2007,6000000,0,13801,3,HS,1,4.0
17320005,2005,2007,14900000,0,13801,3,HS,1,0.0
17300265,2005,2007,10900000,0,13801,3,INT,1,5.0
17300266,2005,2008,15500000,0,13801,4,INT,1,3.0
17310071,2005,2007,11200000,0,13801,3,INT,1,15.0
17310070,2005,2007,14700000,0,13801,3,INT,1,6.0
17300081,2005,2007,14700000,0,13801,3,INT,1,24.0
17300045,2005,2007,15000000,0,13801,3,INT,1,3.0
17350067,2005,2007,14200000,0,13801,3,SE,1,9.0
17330163,2005,2007,6500000,0,13801,3,HS,1,12.0
17360324,2005,2007,14200000,0,13801,3,SE,1,14.0
17360374,2005,2007,5900000,0,13801,3,SE,1,4.0
17360138,2005,2007,12600000,0,13801,3,SE,1,8.0
18360069,2006,2008,14500000,0,13801,3,SE,1,5.0
18380031,2006,2009,9100000,0,13801,4,BIO,1,8.0
18380050,2006,2009,13300000,0,13801,4,BIO,1,3.0
18360371,2006,2008,13900000,0,13801,3,SE,1,8.0
18320009,2006,2008,14000000,0,13801,3,HS,1,20.0
18340165,2006,2009,14800000,0,13801,4,SE,1,29.0
18340158,2006,2009,15200000,0,13801,4,SE,1,62.0
18330003,2006,2008,13500000,0,13801,3,HS,1,0.0
19360296,2007,2009,13500000,0,13801,3,SE,1,51.0
19360372,2007,2009,13900000,0,13801,3,SE,1,10.0
19370034,2007,2010,13800000,0,13801,4,BIO,1,44.0
19370024,2007,2009,14000000,0,13801,3,BIO,1,20.0
19370082,2007,2009,14300000,0,13801,3,BIO,1,8.0
19360047,2007,2009,14500000,0,13801,3,SE,1,6.0
19360113,2007,2009,15100000,0,13801,3,SE,1,6.0
19360099,2007,2009,14100000,0,13801,3,SE,1,16.0
19360030,2007,2009,14600000,0,13801,3,SE,1,10.0
19360160,2007,2009,14100000,0,13801,3,SE,1,54.0
19360159,2007,2009,14000000,0,13801,3,SE,1,21.0
19380182,2007,2010,15000000,0,13801,4,BIO,1,14.0
19310141,2007,2009,14400000,0,13801,3,INT,1,26.0
19310093,2007,2009,14700000,0,13801,3,INT,1,31.0
19310008,2007,2010,13800000,0,13801,4,INT,1,13.0
19330104,2007,2009,12100000,0,13801,3,HS,1,6.0
19330200,2007,2010,14200000,0,13801,4,HS,1,0.0
19340111,2007,2009,14200000,0,13801,3,SE,1,25.0
19340148,2007,2009,14400000,0,13801,3,SE,1,19.0
19300026,2007,2009,14500000,0,13801,3,INT,1,10.0
20380088,2008,2010,14500000,0,13801,3,BIO,1,10.0
20360156,2008,2010,14600000,0,13801,3,SE,1,12.0
20310094,2008,2010,14600000,0,13801,3,INT,1,3.0
20310059,2008,2010,15000000,0,13801,3,INT,1,25.0
20320101,2008,2011,14300000,0,13801,4,HS,1,7.0
20300027,2008,2012,14200000,0,13801,5,INT,1,23.0
20300267,2008,2011,12900000,0,13801,4,INT,1,8.0
20300268,2008,2012,14300000,0,13801,5,INT,1,10.0
20340161,2008,2010,14800000,0,13801,3,SE,1,71.0
20340137,2008,2011,11500000,0,13801,4,SE,1,14.0
20360030,2008,2010,13800000,0,13801,3,SE,1,23.0
20330020,2008,2010,6300000,0,13801,3,HS,1,1.0
21380108,2009,2011,12500000,0,13801,3,BIO,1,2.0
21360336,2009,2011,13400000,0,13801,3,SE,1,22.0
21310080,2009,2011,15100000,0,13801,3,INT,1,15.0
21300021,2009,2012,7800000,0,13801,4,INT,1,10.0
21300306,2009,2011,10900000,0,13801,3,INT,1,10.0
21330200,2009,2013,7000000,0,13801,5,HS,1,0.0
22320101,2010,2013,10800000,0,13801,4,HS,1,12.0
22310045,2010,2012,14200000,0,13801,3,INT,1,4.0
