awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Total Citations,Average per Year,ave_3,ave_5
21500308,2009,2011,2500000,0,21601,3,INT,2,10.1007/s12311-011-0303-0,Ataxic Hemiparesis: Neurophysiological Analysis by Cerebellar Transcranial Magnetic Stimulation,"Kikuchi, Saeko; Mochizuki, Hitoshi; Moriya, Arata; Nakatani-Enomoto, Setsu; Nakamura, Koichiro; Hanajima, Ritsuko; Ugawa, Yoshikazu",CEREBELLUM,12-Mar,2012,25,2.08,1.666666667,1.6
21500308,2009,2011,2500000,0,21601,3,INT,2,10.1007/s00221-011-2855-0,On-line effects of quadripulse transcranial magnetic stimulation (QPS) on the contralateral hemisphere studied with somatosensory evoked potentials and near infrared spectroscopy,"Hirose, Masaki; Mochizuki, Hitoshi -; Groiss, Stefan Jun; Tanji, Yumiko; Nakamura, Koichiro; Nakatani-Enomoto, Setsu; Enomoto, Hiroyuki; Nishizawa, Masatoyo; Ugawa, Yoshikazu",EXPERIMENTAL BRAIN RESEARCH,11-Oct,2011,7,0.54,0.666666667,0.6
21510223,2009,2011,3500000,0,12614,3,INT,1,10.1271/bbb.110541,Suppressive Effect of Peach Leaf Extract on Glucose Absorption from the Small Intestine of Mice,"Shirosaki, Miyuki; Koyama, Tomoyuki; Yazawa, Kazunaga",BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,12-Jan,2012,7,0.58,1.0,0.8
21510223,2009,2011,3500000,0,12614,3,INT,1,10.1016/j.foodchem.2010.04.052,Anti-hyperglycemic effects of sugar maple Acer saccharum and its constituent acertannin,"Honma, Atsushi; Koyama, Tomoyuki; Yazawa, Kazunaga",FOOD CHEMISTRY,NOV 15 2010,2010,34,2.43,3.333333333,2.4
21510223,2009,2011,3500000,0,12614,3,INT,1,10.1007/s10086-010-1130-5,Antihyperglycemic effects of Japanese maple Acer amoenum leaf extract and its constituent corilagin,"Honma, Atsushi; Koyama, Tomoyuki; Yazawa, Kazunaga",JOURNAL OF WOOD SCIENCE,10-Dec,2010,10,0.71,0.666666667,0.8
21510223,2009,2011,3500000,0,12614,3,INT,1,10.3109/14756366.2010.486795,Anti-hyperglycaemic effects of the Japanese red maple Acer pycnanthum and its constituents the ginnalins B and C,"Honma, Atsushi; Koyama, Tomoyuki; Yazawa, Kazunaga",JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,11-Apr,2011,21,1.62,2.0,1.4
21510008,2009,2011,3400000,0,12601,3,INT,1,10.1016/j.epsl.2010.07.049,Evaluating Earth degassing in subduction zones by measuring helium fluxes from the ocean floor,"Lan, Tefang F.; Sano, Yuji; Yang, Tsanyao F.; Takahata, Naoto; Shirai, Kotaro; Pinti, Daniele L.",EARTH AND PLANETARY SCIENCE LETTERS,OCT 1 2010,2010,13,0.93,0.333333333,1.0
21510239,2009,2011,3500000,0,82626,3,INT,10,10.1039/c2cc16785a,Interstrand cross-link of DNA by covalently linking a pair of abasic sites,"Ichikawa, Kohei; Kojima, Naoshi; Hirano, Yu; Takebayashi, Toshie; Kowata, Keiko; Komatsu, Yasuo",CHEMICAL COMMUNICATIONS,2012,2012,17,1.42,0.333333333,1.0
21510239,2009,2011,3500000,0,82626,3,INT,10,10.1246/cl.2012.62,End-tether Structure of DNA Alters Electron-transfer Pathway of Redox-labeled Oligo-DNA Duplex at Electrode Surface,"Mie, Yasuhiro; Kojima, Naoshi; Kowata, Keiko; Komatsu, Yasuo",CHEMISTRY LETTERS,JAN 5 2012,2012,8,0.67,1.666666667,1.2
21510239,2009,2011,3500000,0,82626,3,INT,10,10.1016/j.colsurfa.2011.04.024,Size-controlled fabrication of gold nanodome arrays and its application to enzyme electrodes,"Ikegami, Masiki; Mie, Yasuhiro; Hirano, Yu; Suzuki, Masaaki; Komatsu, Yasuo",COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,JUL 5 2011,2011,13,1.0,1.333333333,1.6
21510239,2009,2011,3500000,0,82626,3,INT,10,10.1016/j.elecom.2010.03.005,Gold sputtered electrode surfaces enhance direct electron transfer reactions of human cytochrome P450s,"Mie, Yasuhiro; Ikegami, Masiki; Komatsu, Yasuo",ELECTROCHEMISTRY COMMUNICATIONS,10-May,2010,14,1.0,0.666666667,1.0
21510239,2009,2011,3500000,0,82626,3,INT,10,10.1021/ja904767k,Construction of Highly Reactive Probes for Abasic Site Detection by Introduction of an Aromatic and a Guanidine Residue into an Aminooxy Group,"Kojima, Naoshi; Takebayashi, Toshie; Mikami, Akiko; Ohtsuka, Eiko; Komatsu, Yasuo",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,SEP 23 2009,2009,34,2.27,1.333333333,2.4
21510239,2009,2011,3500000,0,82626,3,INT,10,10.1016/j.bmcl.2009.02.121,Efficient synthesis of oligonucleotide conjugates on solid-support using an (aminoethoxycarbonyl)aminohexyl group for 5 '-terminal modification,"Kojima, Naoshi; Takebayashi, Toshie; Mikami, Akiko; Ohtsuka, Eiko; Komatsu, Yasuo",BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,APR 15 2009,2009,6,0.4,0.666666667,0.8
21510129,2009,2011,3500000,0,34316,3,INT,3,10.1063/1.3660262,Fast-response signal upconversion by the use of a time-space conversion method,"Saito, Mitsunori; Nakamura, Shingo; Kita, Teppei",APPLIED PHYSICS LETTERS,NOV 7 2011,2011,2,0.15,0.0,0.2
21500335,2009,2011,3500000,0,12301,3,INT,1,10.1111/j.1750-3639.2012.00574.x,Analysis of Chromosome 19q13.42 Amplification in Embryonal Brain Tumors with Ependymoblastic Multilayered Rosettes,"Nobusawa, Sumihito; Yokoo, Hideaki; Hirato, Junko; Kakita, Akiyoshi; Takahashi, Hitoshi; Sugino, Takashi; Tasaki, Kazuhiro; Itoh, Hideaki; Hatori, Tsutomu; Shimoyama, Yoshie; Nakazawa, Atsuko; Nishizawa, Shigeru; Kishimoto, Hiroshi; Matsuoka, Keiko; Nakayama, Masahiro; Okura, Naoki; Nakazato, Yoichi",BRAIN PATHOLOGY,12-Sep,2012,39,3.25,5.0,4.8
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1111/jnc.12287,The role of tetrahydrobiopterin and catecholamines in the developmental regulation of tyrosine hydroxylase level in the brain,"Homma, Daigo; Katoh, Setsuko; Tokuoka, Hirofumi; Ichinose, Hiroshi",JOURNAL OF NEUROCHEMISTRY,13-Jul,2013,18,1.64,0.666666667,1.6
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1038/ni.2520,Nr4a receptors are essential for thymic regulatory T cell development and immune homeostasis,"Sekiya, Takashi; Kashiwagi, Ikkou; Yoshida, Rei; Fukaya, Tomohiro; Morita, Rimpei; Kimura, Akihiro; Ichinose, Hiroshi; Metzger, Daniel; Chambon, Pierre; Yoshimura, Akihiko",NATURE IMMUNOLOGY,13-Mar,2013,203,18.45,18.33333333,19.2
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1016/j.nbd.2012.12.005,Regulation of the dopaminergic system in a murine model of aromatic L-amino acid decarboxylase deficiency,"Lee, Ni-Chung; Shieh, Yih-Dar; Chien, Yin-Hsiu; Tzen, Kai-Yuan; Yu, I-Shing; Chen, Pin-Wen; Hu, Min-Hsiu; Hu, Meng-kai; Muramatsu, Shin-ichi; Ichinose, Hiroshi; Hwu, Wuh-Liang",NEUROBIOLOGY OF DISEASE,13-Apr,2013,28,2.55,3.0,2.4
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1016/j.lfs.2012.11.016,Association of monoamine-synthesizing genes with the depression tendency and personality in chronic fatigue syndrome patients,"Fukuda, Sanae; Horiguchi, Mieko; Yamaguti, Kouzi; Nakatomi, Yasuhito; Kuratsune, Hirohiko; Ichinose, Hiroshi; Watanabe, Yasuyoshi",LIFE SCIENCES,FEB 27 2013,2013,9,0.82,1.333333333,1.2
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1016/j.jad.2012.05.004,GTP cyclohydrolase 1 gene haplotypes as predictors of SSRI response in Japanese patients with major depressive disorder,"Kishi, Taro; Ichinose, Hiroshi; Yoshimura, Reiji; Fukuo, Yasuhisa; Kitajima, Tsuyoshi; Inada, Toshiya; Kunugi, Hiroshi; Kato, Tadafumi; Yoshikawa, Takeo; Ujike, Hiroshi; Musso, Giovanna M.; Umene-Nakano, Wakako; Nakamura, Jun; Ozaki, Norio; Iwata, Nakao",JOURNAL OF AFFECTIVE DISORDERS,DEC 15 2012,2012,9,0.75,0.666666667,0.4
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1371/journal.pone.0030958,The Nitric Oxide-Cyclic GMP Pathway Regulates FoxO and Alters Dopaminergic Neuron Survival in Drosophila,"Kanao, Tomoko; Sawada, Tomoyo; Davies, Shireen-Anne; Ichinose, Hiroshi; Hasegawa, Kazuko; Takahashi, Ryosuke; Hattori, Nobutaka; Imai, Yuzuru",PLOS ONE,FEB 29 2012,2012,18,1.5,1.333333333,1.4
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1038/ncomms1272,The nuclear orphan receptor Nr4a2 induces Foxp3 and regulates differentiation of CD4(+) T cells,"Sekiya, Takashi; Kashiwagi, Ikkou; Inoue, Naoko; Morita, Rimpei; Hori, Shohei; Waldmann, Herman; Rudensky, Alexander Y.; Ichinose, Hiroshi; Metzger, Daniel; Chambon, Pierre; Yoshimura, Akihiko",NATURE COMMUNICATIONS,11-Apr,2011,145,11.15,7.0,8.8
21500305,2009,2011,3300000,0,12608,3,INT,1,10.1007/s00702-011-0587-8,Biopterin levels in the cerebrospinal fluid of patients with PARK8 (I2020T),"Koshiba, Shoko; Tokuoka, Hirofumi; Yokoyama, Teruo; Horiuchi, Emiko; Ichinose, Hiroshi; Hasegawa, Kazuko",JOURNAL OF NEURAL TRANSMISSION,11-Jun,2011,4,0.31,0.0,0.2
21500491,2009,2011,3100000,0,32622,3,INT,3,10.1016/j.resp.2011.09.007,Coupling of dyspnea perception and tachypneic breathing during hypercapnia,"Izumizaki, Masahiko; Masaoka, Yuri; Homma, Ikuo",RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,DEC 15 2011,2011,9,0.69,0.666666667,0.6
21500491,2009,2011,3100000,0,32622,3,INT,3,10.1113/expphysiol.2011.062703,Dopaminergic modulation of exercise hyperpnoea via D2 receptors in mice,"Tsuchiya, Naoto; Iwase, Michiko; Izumizaki, Masahiko; Homma, Ikuo",EXPERIMENTAL PHYSIOLOGY,12-Feb,2012,7,0.58,1.0,1.0
21510141,2009,2012,2600000,0,12703,4,INT,1,10.1016/j.matcom.2010.07.022,Measuring the network robustness by Monte Carlo estimation of shortest path length distribution,"Morohosi, Hozumi",MATHEMATICS AND COMPUTERS IN SIMULATION,10-Nov,2010,12,0.86,0.333333333,0.2
21510141,2009,2012,2600000,0,12703,4,INT,1,10.1111/j.1475-3995.2008.00688.x,Applying path-counting methods for measuring the robustness of the network-structured system,"Kobayashi, Kazuhiro; Morohosi, Hozumi; Oyama, Tatsuo",INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,09-May,2009,5,0.33,0.0,0.0
21500015,2009,2011,3000000,0,15401,3,INT,1,10.1016/j.tcs.2011.02.022,Simulating reversible Turing machines and cyclic tag systems by one-dimensional reversible cellular automata,"Morita, Kenichi",THEORETICAL COMPUTER SCIENCE,JUL 8 2011,2011,9,0.69,1.333333333,1.0
21500370,2009,2011,3700000,0,17201,3,INT,1,10.1002/jnr.23059,Inhibition by morphine and its analogs of action potentials in adult rat dorsal root ganglion neurons,"Mizuta, Kotaro; Fujita, Tsugumi; Kumamoto, Eiichi",JOURNAL OF NEUROSCIENCE RESEARCH,12-Sep,2012,5,0.42,0.333333333,0.2
21500370,2009,2011,3700000,0,17201,3,INT,1,10.1016/j.neuroscience.2012.02.040,PRESYNAPTIC ENHANCEMENT BY EUGENOL OF SPONTANEOUS EXCITATORY TRANSMISSION IN RAT SPINAL SUBSTANTIA GELATINOSA NEURONS IS MEDIATED BY TRANSIENT RECEPTOR POTENTIAL A1 CHANNELS,"Inoue, M.; Fujita, T.; Goto, M.; Kumamoto, E.",NEUROSCIENCE,MAY 17 2012,2012,29,2.42,3.333333333,3.0
21500370,2009,2011,3700000,0,17201,3,INT,1,10.1016/j.bbrc.2012.01.080,Actions of a novel water-soluble benzodiazepine-receptor agonist JM-1232(-) on synaptic transmission in adult rat spinal substantia gelatinosa neurons,"Uemura, Satoko; Fujita, Tsugumi; Sakaguchi, Yoshiro; Kumamoto, Eiichi",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,FEB 24 2012,2012,15,1.25,0.666666667,1.0
21500370,2009,2011,3700000,0,17201,3,INT,1,10.1016/j.bbrc.2011.06.075,TRPV1 agonist piperine but not olvanil enhances glutamatergic spontaneous excitatory transmission in rat spinal substantia gelatinosa neurons,"Yang, Liu; Fujita, Tsugumi; Jiang, Chang-Yu; Piao, Lian-Hua; Yue, Hai-Yuan; Mizuta, Kotaro; Kumamoto, Eiichi",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,JUL 15 2011,2011,17,1.31,2.0,2.2
