awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi
21500154,2009,2011,3400000,0,82626,3,556,10,10.1145/2039320.2039329
21500154,2009,2011,3400000,0,82626,3,556,10,10.1145/1864708.1864765
21500154,2009,2011,3400000,0,82626,3,556,10,10.1109/icdm.2009.9
21500308,2009,2011,2500000,0,21601,3,556,2,10.1007/s12311-011-0303-0
21500308,2009,2011,2500000,0,21601,3,556,2,10.1007/s00221-011-2855-0
21510223,2009,2011,3500000,0,12614,3,556,1,10.1271/bbb.110541
21510223,2009,2011,3500000,0,12614,3,556,1,10.1016/j.foodchem.2010.04.052
21510223,2009,2011,3500000,0,12614,3,556,1,10.1007/s10086-010-1130-5
21510223,2009,2011,3500000,0,12614,3,556,1,10.3109/14756366.2010.486795
21510008,2009,2011,3400000,0,12601,3,556,1,10.1016/j.epsl.2010.07.049
21510239,2009,2011,3500000,0,82626,3,556,10,10.1039/c2cc16785a
21510239,2009,2011,3500000,0,82626,3,556,10,10.1246/cl.2012.62
21510239,2009,2011,3500000,0,82626,3,556,10,10.1016/j.colsurfa.2011.04.024
21510239,2009,2011,3500000,0,82626,3,556,10,10.1016/j.elecom.2010.03.005
21510239,2009,2011,3500000,0,82626,3,556,10,10.1002/9780470682531.pat0514
21510239,2009,2011,3500000,0,82626,3,556,10,10.1021/ja904767k
21510239,2009,2011,3500000,0,82626,3,556,10,10.1016/j.bmcl.2009.02.121
21510239,2009,2011,3500000,0,82626,3,556,10,10.1107/s0907444912000327
21510129,2009,2011,3500000,0,34316,3,556,3,10.1063/1.3660262
21500335,2009,2011,3500000,0,12301,3,556,1,10.1111/j.1750-3639.2012.00574.x
21500039,2009,2011,3000000,0,17104,3,556,1,10.1007/978-3-642-28082-5_5
21500417,2009,2013,3400000,0,34104,5,556,3,10.4028/www.scientific.net/ast.79.69
21500305,2009,2011,3300000,0,12608,3,556,1,10.1111/jnc.12287
21500305,2009,2011,3300000,0,12608,3,556,1,10.1038/ni.2520
21500305,2009,2011,3300000,0,12608,3,556,1,10.1016/j.nbd.2012.12.005
21500305,2009,2011,3300000,0,12608,3,556,1,10.1016/j.lfs.2012.11.016
21500305,2009,2011,3300000,0,12608,3,556,1,10.1016/j.jad.2012.05.004
21500305,2009,2011,3300000,0,12608,3,556,1,10.1371/journal.pone.0030958
21500305,2009,2011,3300000,0,12608,3,556,1,10.1097/wnr.0b013e32834e3a87
21500305,2009,2011,3300000,0,12608,3,556,1,10.1074/jbc.m111.284729
21500305,2009,2011,3300000,0,12608,3,556,1,10.1038/ncomms1272
21500305,2009,2011,3300000,0,12608,3,556,1,10.1007/s00702-011-0587-8
21500305,2009,2011,3300000,0,12608,3,556,1,10.1074/jbc.m110.159426
21500491,2009,2011,3100000,0,32622,3,556,3,10.1016/j.resp.2011.09.007
21500491,2009,2011,3100000,0,32622,3,556,3,10.1113/expphysiol.2011.062703
21510141,2009,2012,2600000,0,12703,4,556,1,10.1016/j.matcom.2010.07.022
21510141,2009,2012,2600000,0,12703,4,556,1,10.1111/j.1475-3995.2008.00688.x
21500959,2009,2011,1800000,0,32675,3,556,3,10.4018/ijdet.2011100102
21510167,2009,2011,3600000,0,33917,3,556,3,10.1145/1985793.1985800
21510167,2009,2011,3600000,0,33917,3,556,3,10.1109/icqr2mse.2011.5976641
21510167,2009,2011,3600000,0,33917,3,556,3,10.1109/icqr2mse.2011.5976642
21510167,2009,2011,3600000,0,33917,3,556,3,10.1109/iwsm-mensura.2011.26
21510167,2009,2011,3600000,0,33917,3,556,3,10.1109/icnc.2011.55
21510167,2009,2011,3600000,0,33917,3,556,3,10.1007/978-3-642-27207-3_41
21500015,2009,2011,3000000,0,15401,3,556,1,10.3233/fi-2011-541
21500015,2009,2011,3000000,0,15401,3,556,1,10.1016/j.tcs.2011.02.022
21500370,2009,2011,3700000,0,17201,3,556,1,10.1002/jnr.23059
21500370,2009,2011,3700000,0,17201,3,556,1,10.1016/j.neuroscience.2012.02.040
21500370,2009,2011,3700000,0,17201,3,556,1,10.1016/j.bbrc.2012.01.080
21500370,2009,2011,3700000,0,17201,3,556,1,10.1016/j.bbrc.2011.06.075
21500370,2009,2011,3700000,0,17201,3,556,1,10.1152/jn.00838.2010
21500424,2009,2011,3500000,0,13601,3,556,1,10.1016/j.ydbio.2010.08.029
21500424,2009,2011,3500000,0,13601,3,556,1,10.1089/ten.tea.2009.0548
21500424,2009,2011,3500000,0,13601,3,556,1,10.1152/ajprenal.00125.2009
21500424,2009,2011,3500000,0,13601,3,556,1,10.1088/0022-3727/44/37/372001
