Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave_3,ave_5
Self-production of tissue factor-coagulation factor VII complex by ovarian cancer cells,"Yokota, N.; Koizume, S.; Miyagi, E.; Hirahara, F.; Nakamura, Y.; Kikuchi, K.; Ruf, W.; Sakuma, Y.; Tsuchiya, E.; Miyagi, Y.",BRITISH JOURNAL OF CANCER,DEC 8 2009,2009,101,12,2023,2029,,10.1038/sj.bjc.6605406,57,3.8,0,4,6,6,9,4,5,3,5,1,3,4,2,5,0,3.333333333,5
Hepatocyte Nuclear Factor-4-Independent Synthesis of Coagulation Factor VII in Breast Cancer Cells and Its Inhibition by Targeting Selective Histone Acetyltransferases,"Koizume, Shiro; Yokota, Naho; Miyagi, Etsuko; Hirahara, Fumiki; Nakamura, Yoshiyasu; Sakuma, Yuji; Yoshida, Akira; Kameda, Yoichi; Tsuchiya, Eiju; Ruf, Wolfram; Miyagi, Yohei",MOLECULAR CANCER RESEARCH,09-Dec,2009,7,12,1928,1936,,10.1158/1541-7786.MCR-09-0372,32,2.13,0,1,1,4,3,6,3,5,0,4,2,2,1,0,0,0.666666667,1.8
The transcriptional network that controls growth arrest and differentiation in a human myeloid leukemia cell line,"Suzuki, Harukazu; Forrest, Alistair R. R.; van Nimwegen, Erik; Daub, Carsten O.; Balwierz, Piotr J.; Irvine, Katharine M.; Lassmann, Timo; Ravasi, Timothy; Hasegawa, Yuki; de Hoon, Michiel J. L.; Katayama, Shintaro; Schroder, Kate; Carninci, Piero; Tomaru, Yasuhiro; Kanamori-Katayama, Mutsumi; Kubosaki, Atsutaka; Akalin, Altuna; Ando, Yoshinari; Arner, Erik; Asada, Maki; Asahara, Hiroshi; Bailey, Timothy; Bajic, Vladimir B.; Bauer, Denis; Beckhouse, Anthony G.; Bertin, Nicolas; Bjorkegren, Johan; Brombacher, Frank; Bulger, Erika; Chalk, Alistair M.; Chiba, Joe; Cloonan, Nicole; Dawe, Adam; Dostie, Josee; Engstrom, Par G.; Essack, Magbubah; Faulkner, Geoffrey J.; Fink, J. Lynn; Fredman, David; Fujimori, Ko; Furuno, Masaaki; Gojobori, Takashi; Gough, Julian; Grimmond, Sean M.; Gustafsson, Mika; Hashimoto, Megumi; Hashimoto, Takehiro; Hatakeyama, Mariko; Heinzel, Susanne; Hide, Winston; Hofmann, Oliver; Hornquist, Michael; Huminiecki, Lukasz; Ikeo, Kazuho; Imamoto, Naoko; Inoue, Satoshi; Inoue, Yusuke; Ishihara, Ryoko; Iwayanagi, Takao; Jacobsen, Anders; Kaur, Mandeep; Kawaji, Hideya; Kerr, Markus C.; Kimura, Ryuichiro; Kimura, Syuhei; Kimura, Yasumasa; Kitano, Hiroaki; Koga, Hisashi; Kojima, Toshio; Kondo, Shinji; Konno, Takeshi; Krogh, Anders; Kruger, Adele; Kumar, Ajit; Lenhard, Boris; Lennartsson, Andreas; Lindow, Morten; Lizio, Marina; MacPherson, Cameron; Maeda, Norihiro; Maher, Christopher A.; Maqungo, Monique; Mar, Jessica; Matigian, Nicholas A.; Matsuda, Hideo; Mattick, John S.; Meier, Stuart; Miyamoto, Sei; Miyamoto-Sato, Etsuko; Nakabayashi, Kazuhiko; Nakachi, Yutaka; Nakano, Mika; Nygaard, Sanne; Okayama, Toshitsugu; Okazaki, Yasushi; Okuda-Yabukami, Haruka; Orlando, Valerio; Otomo, Jun; Pachkov, Mikhail; Petrovsky, Nikolai; Plessy, Charles; Quackenbush, John; Radovanovic, Aleksandar; Rehli, Michael; Saito, Rintaro; Sandelin, Albin; Schmeier, Sebastian; Schonbach, Christian; Schwartz, Ariel S.; Semple, Colin A.; Sera, Miho; Severin, Jessica; Shirahige, Katsuhiko; Simons, Cas; Laurent, George St.; Suzuki, Masanori; Suzuki, Takahiro; Sweet, Matthew J.; Taft, Ryan J.; Takeda, Shizu; Takenaka, Yoichi; Tan, Kai; Taylor, Martin S.; Teasdale, Rohan D.; Tegner, Jesper; Teichmann, Sarah; Valen, Eivind; Wahlestedt, Claes; Waki, Kazunori; Waterhouse, Andrew; AWells, Christine; Winther, Ole; Wu, Linda; Yamaguchi, Kazumi; Yanagawa, Hiroshi; Yasuda, Jun; Zavolan, Mihaela; Hume, David A.; Arakawa, Takahiro; Fukuda, Shiro; Imamura, Kengo; Kai, Chikatoshi; Kaiho, Ai; Kawashima, Tsugumi; Kawazu, Chika; Kitazume, Yayoi; Kojima, Miki; Miura, Hisashi; Murakami, Kayoko; Murata, Mitsuyoshi; Ninomiya, Noriko; Nishiyori, Hiromi; Noma, Shohei; Ogawa, Chihiro; Sano, Takuma; Simon, Christophe; Tagami, Michihira; Takahashi, Yukari; Kawai, Jun; Hayashizaki, Yoshihide",NATURE GENETICS,09-May,2009,41,5,553,562,,10.1038/ng.375,344,22.93,18,40,34,39,34,45,33,26,20,10,9,12,12,11,1,30.66666667,33
Oocyte-granulosa-theca cell interactions during preantral follicular development,"Orisaka, Makoto; Tajima, Kimihisa; Tsang, Benjamin K.; Kotsuji, Fumikazu",JOURNAL OF OVARIAN RESEARCH,2009,2009,2,1,,,9,10.1186/1757-2215-2-9,134,8.93,0,3,3,9,11,11,10,8,16,3,12,14,20,14,0,2,5.2
Antiviral Effects of the Interferon-Induced Protein Guanylate Binding Protein 1 and Its Interaction with the Hepatitis C Virus NS5B Protein,"Itsui, Yasuhiro; Sakamoto, Naoya; Kakinuma, Sei; Nakagawa, Mina; Sekine-Osajima, Yuko; Tasaka-Fujita, Megumi; Nishimura-Sakurai, Yuki; Suda, Gokui; Karakama, Yuko; Mishima, Kako; Yamamoto, Machi; Watanabe, Takako; Ueyama, Mayumi; Funaoka, Yusuke; Azuma, Seishin; Watanabe, Mamoru",HEPATOLOGY,09-Dec,2009,50,6,1727,1737,,10.1002/hep.23195,108,7.2,0,4,4,10,13,5,3,12,15,8,6,10,10,7,1,2.666666667,6.2
c-Kit-negative fibroblast-like cells express platelet-derived growth factor receptor alpha in the murine gastrointestinal musculature,"Iino, Satoshi; Horiguchi, Kazuhide; Horiguchi, Satomi; Nojyo, Yoshiaki",HISTOCHEMISTRY AND CELL BIOLOGY,09-Jun,2009,131,6,691,702,,10.1007/s00418-009-0580-6,90,6,1,8,5,13,10,7,5,3,8,5,5,7,6,7,0,4.666666667,7.4
Growth Differentiation Factor 9 Promotes Rat Preantral Follicle Growth by Up-Regulating Follicular Androgen Biosynthesis,"Orisaka, Makoto; Jiang, Jin-Yi; Orisaka, Sanae; Kotsuji, Fumikazu; Tsang, Benjamin K.",ENDOCRINOLOGY,09-Jun,2009,150,6,2740,2748,,10.1210/en.2008-1536,63,4.2,3,3,3,1,6,7,3,4,4,5,8,2,9,5,0,3,3.2
Novel Positive Feedback Loop between Cdk1 and Chk1 in the Nucleus during G2/M Transition,"Enomoto, Masato; Goto, Hidemasa; Tomono, Yasuko; Kasahara, Kousuke; Tsujimura, Kunio; Kiyono, Tohru; Inagaki, Masaki",JOURNAL OF BIOLOGICAL CHEMISTRY,DEC 4 2009,2009,284,49,34223,34230,,10.1074/jbc.C109.051540,56,3.73,0,2,5,6,5,9,9,1,5,2,4,4,2,2,0,2.333333333,3.6
Immunohistochemical demonstration of c-Kit-negative fibroblast-like cells in murine gastrointestinal musculature,"Iino, Satoshi; Nojyo, Yoshiaki",ARCHIVES OF HISTOLOGY AND CYTOLOGY,09-Sep,2009,72,2,107,115,,10.1679/aohc.72.107,51,3.4,0,1,4,5,5,6,5,4,3,4,4,2,4,4,0,1.666666667,3
NKG2D gene polymorphism has a significant impact on transplant outcomes after HLA-fully-matched unrelated bone marrow transplantation for standard risk hematologic malignancies,"Espinoza, J. Luis; Takami, Akiyoshi; Onizuka, Makoto; Sao, Hiroshi; Akiyama, Hideki; Miyamura, Koichi; Okamoto, Shinichiro; Inoue, Masami; Kanda, Yoshinobu; Ohtake, Shigeki; Fukuda, Takahiro; Morishima, Yasuo; Kodera, Yoshihisa; Nakao, Shinji",HAEMATOLOGICA-THE HEMATOLOGY JOURNAL,09-Oct,2009,94,10,1427,1434,,10.3324/haematol.2009.008318,45,3,0,1,5,4,3,1,3,3,7,4,4,2,7,1,0,2,2.6
Luteinizing hormone-induced Akt phosphorylation and androgen production are modulated by MAP Kinase in bovine theca cells,"Fukuda, Shin; Orisaka, Makoto; Tajima, Kimihisa; Hattori, Katsushige; Kotsuji, Fumikazu",JOURNAL OF OVARIAN RESEARCH,2009,2009,2,1,,,17,10.1186/1757-2215-2-17,44,2.93,0,2,0,2,1,3,2,1,3,5,4,7,5,8,1,0.666666667,1
Advanced Glycation End Products Subspecies-Selectively Induce Adhesion Molecule Expression and Cytokine Production in Human Peripheral Blood Mononuclear Cells,"Takahashi, Hideo Kohka; Mori, Shuji; Wake, Hidenori; Liu, Keyue; Yoshino, Tadashi; Ohashi, Katsuhisa; Tanaka, Noriaki; Shikata, Kenichi; Makino, Hirofumi; Nishibori, Masahiro",JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,09-Jul,2009,330,1,89,98,,10.1124/jpet.109.150581,43,2.87,2,10,4,3,2,3,0,1,4,1,4,2,3,4,0,5.333333333,4.2
Growth Differentiation Factor-9 Mediates Follicle-Stimulating Hormone-Thyroid Hormone Interaction in the Regulation of Rat Preantral Follicular Development,"Kobayashi, Noriko; Orisaka, Makoto; Cao, Mingju; Kotsuji, Fumikazu; Leader, Arthur; Sakuragi, Noriaki; Tsang, Benjamin K.",ENDOCRINOLOGY,09-Dec,2009,150,12,5566,5574,,10.1210/en.2009-0262,40,2.67,0,0,2,3,7,0,0,2,3,4,4,4,7,4,0,0.666666667,2.4
Neonatal intrahepatic cholestasis caused by citrin deficiency: Clinical and laboratory investigation of 13 subjects in mainland of China,"Song, Y. -Z.; Li, B. -X.; Chen, F. -P.; Liu, S. -R.; Sheng, J. -S.; Ushikai, M.; Zhang, C. -H.; Zhang, T.; Wang, Z. -N.; Kobayashi, K.; Saheki, T.; Zheng, X. -Y.",DIGESTIVE AND LIVER DISEASE,09-Sep,2009,41,9,683,689,,10.1016/j.dld.2008.11.014,35,2.33,0,0,8,5,1,4,1,4,4,0,5,2,0,1,0,2.666666667,2.8
Effect of Vascular Endothelial Growth Factor and Its Receptor Inhibitor on Proliferation and Invasion in Bladder Cancer,"Nakanishi, Ryoichi; Oka, Natsuo; Nakatsuji, Hiroyoshi; Koizumi, Takahiro; Sakaki, Manabu; Takahashi, Masayuki; Fukumori, Tomoharu; Kanayama, Hiro-omi",UROLOGIA INTERNATIONALIS,2009,2009,83,1,98,106,,10.1159/000224877,35,2.33,0,2,4,4,5,2,5,3,6,0,2,0,1,1,0,2,3
"Asymmetric [2,3]-Wittig Rearrangement of Oxygenated Allyl Benzyl Ethers in the Presence of a Chiral di-tBu-bis(oxazoline) Ligand: A Novel Synthetic Approach to THF Lignans","Kitamura, Maria; Hirokawa, Yoshimi; Maezaki, Naoyoshi",CHEMISTRY-A EUROPEAN JOURNAL,2009,2009,15,38,9911,9917,,10.1002/chem.200901212,24,1.6,0,0,4,2,1,2,3,2,4,5,0,1,0,0,0,1.333333333,1.4
The calcium channel blocker cilnidipine selectively suppresses hypoxia-inducible factor 1 activity in vascular cells,"Oda, Seiko; Oda, Tomoyuki; Takabuchi, Satoshi; Nishi, Kenichiro; Wakamatsu, Takuhiko; Tanaka, Tomoharu; Adachi, Takehiko; Fukuda, Kazuhiko; Nohara, Ryuji; Hirota, Kiichi",EUROPEAN JOURNAL OF PHARMACOLOGY,MAR 15 2009,2009,606,03-Jan,130,136,,10.1016/j.ejphar.2009.01.012,15,1,0,0,1,0,2,0,2,3,0,2,1,0,2,2,0,0.333333333,0.6
"Prostaglandin E-2 Inhibits Advanced Glycation End Product-Induced Adhesion Molecule Expression, Cytokine Production, and Lymphocyte Proliferation in Human Peripheral Blood Mononuclear Cells","Takahashi, Hideo Kohka; Liu, Keyue; Wake, Hidenori; Mori, Shuji; Zhang, Jiyong; Liu, Rui; Yoshino, Tadashi; Nishibori, Masahiro",JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,09-Nov,2009,331,2,656,670,,10.1124/jpet.109.157594,13,0.87,0,3,2,2,1,0,1,0,2,1,1,0,0,0,0,1.666666667,1.6
Histamine Inhibits Advanced Glycation End Products-Induced Adhesion Molecule Expression on Human Monocytes,"Wake, Hidenori; Takahashi, Hideo Kohka; Mori, Shuji; Liu, Keyue; Yoshino, Tadashi; Nishibori, Masahiro",JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,09-Sep,2009,330,3,826,833,,10.1124/jpet.109.155960,8,0.53,1,3,0,0,1,0,0,1,1,0,0,0,0,1,0,1.333333333,1
The expression of soluble guanylate cyclase in the vasculature of rat skeletal muscle,"Fukutani, Tamotsu; Iino, Satoshi; Nojyo, Yoshiaki",ARCHIVES OF HISTOLOGY AND CYTOLOGY,09-Sep,2009,72,2,117,126,,10.1679/aohc.72.117,7,0.47,0,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0.6
Population Analysis of Myelosuppression Profiles Using Routine Clinical Data after the ICE (Ifosfamide/Carboplatin/Etoposide) Regimen for Malignant Gliomas,"Yano, Yoshitaka; Kodawara, Takaaki; Hongo, Haruyuki; Yano, Ikuko; Kishi, Yo; Takahashi, Jun; Inui, Ken-Ichi",JOURNAL OF PHARMACEUTICAL SCIENCES,09-Nov,2009,98,11,4402,4412,,10.1002/jps.21731,6,0.4,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0.333333333,0.2
Portal-systemic encephalopathy after Fontan-type operation in patient with polysplenia syndrome,"Koteda, Yusuke; Suda, Kenji; Kishimoto, Shintaro; Iemura, Motofumi",EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,09-Jun,2009,35,6,1083,1085,,10.1016/j.ejcts.2009.02.043,5,0.33,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0.333333333,0.4
Effect of Itraconazole on the Pharmacokinetics of Everolimus Administered by Different Routes in Rats,"Yokomasu, Akira; Yano, Ikuko; Sato, Eriko; Masuda, Satohiro; Katsura, Toshiya; Inui, Ken-ichi",BIOPHARMACEUTICS & DRUG DISPOSITION,09-Dec,2009,30,9,517,523,,10.1002/bdd.687,3,0.2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.2
